name,sector,synthetic,model,country,estimate,stderr,conf_estimate,conf_stderr
AR(1) Coefficient,Private,TRUE,GMM,Canada,0.5722,0.0024,0.0805,3e-4
AR(1) Coefficient,Manufacturing,TRUE,GMM,Canada,0.5425,0.0084,0.1189,0.0018
Ln Pay,Private,TRUE,GMM,Canada,0.4101,0.0018,0.8991,2e-4
Ln Pay,Manufacturing,TRUE,GMM,Canada,0.4302,0.0067,0.8523,0.0015
Age 3-4,Private,TRUE,GMM,Canada,-0.2075,0.001,-0.045,2e-4
Age 3-4,Manufacturing,TRUE,GMM,Canada,-0.2972,0.0051,-0.0797,0.0014
Age 5-7,Private,TRUE,GMM,Canada,-0.2129,0.0011,-0.0438,2e-4
Age 5-7,Manufacturing,TRUE,GMM,Canada,-0.3162,0.0059,-0.086,0.0015
Age 8-12,Private,TRUE,GMM,Canada,-0.2187,0.0013,-0.0418,3e-4
Age 8-12,Manufacturing,TRUE,GMM,Canada,-0.3294,0.007,-0.0923,0.0017
Age 13 or more,Private,TRUE,GMM,Canada,-0.2318,0.0015,-0.0379,3e-4
Age 13 or more,Manufacturing,TRUE,GMM,Canada,-0.3414,0.008,-0.0898,0.0019
N,Private,TRUE,GMM,Canada,13573225,NA,15708195,NA
N,Manufacturing,TRUE,GMM,Canada,959764,NA,1015293,NA
m2,Private,TRUE,GMM,Canada,-27.54,NA,-14.5,NA
m2,Manufacturing,TRUE,GMM,Canada,-9.44,NA,-2.22,NA
Sargan test,Private,TRUE,GMM,Canada,15000,NA,69000,NA
Sargan test,Manufacturing,TRUE,GMM,Canada,1500,NA,4600,NA
df of Sargan Test,Private,TRUE,GMM,Canada,252,NA,252,NA
df of Sargan Test,Manufacturing,TRUE,GMM,Canada,252,NA,252,NA
P value of Sargan test,Private,TRUE,GMM,Canada,0,NA,0,NA
P value of Sargan test,Manufacturing,TRUE,GMM,Canada,0,NA,0,NA
AR(1) Coefficient,Private,TRUE,System GMM MA,Canada,0.485,0.0012,0.2005,7e-4
AR(1) Coefficient,Manufacturing,TRUE,System GMM MA,Canada,0.5737,0.0059,0.2821,0.004
Ln Pay,Private,TRUE,System GMM MA,Canada,0.476,9e-4,0.8044,5e-4
Ln Pay,Manufacturing,TRUE,System GMM MA,Canada,0.4056,0.0046,0.7135,0.0034
Age 3-4,Private,TRUE,System GMM MA,Canada,-0.1716,6e-4,-0.1245,5e-4
Age 3-4,Manufacturing,TRUE,System GMM MA,Canada,-0.3158,0.0037,-0.2033,0.0032
Age 5-7,Private,TRUE,System GMM MA,Canada,-0.1733,6e-4,-0.1328,5e-4
Age 5-7,Manufacturing,TRUE,System GMM MA,Canada,-0.3389,0.0043,-0.2264,0.0035
Age 8-12,Private,TRUE,System GMM MA,Canada,-0.1731,7e-4,-0.1383,6e-4
Age 8-12,Manufacturing,TRUE,System GMM MA,Canada,-0.356,0.0051,-0.2454,0.0039
Age 13 or more,Private,TRUE,System GMM MA,Canada,-0.1774,8e-4,-0.1441,6e-4
Age 13 or more,Manufacturing,TRUE,System GMM MA,Canada,-0.3717,0.0058,-0.2586,0.0042
N,Private,TRUE,System GMM MA,Canada,13573225,NA,15708195,NA
N,Manufacturing,TRUE,System GMM MA,Canada,959764,NA,1015293,NA
m2,Private,TRUE,System GMM MA,Canada,-40.03,NA,8.2,NA
m2,Manufacturing,TRUE,System GMM MA,Canada,-6.64,NA,7.06,NA
Sargan test,Private,TRUE,System GMM MA,Canada,17000,NA,28000,NA
Sargan test,Manufacturing,TRUE,System GMM MA,Canada,1300,NA,2300,NA
df of Sargan Test,Private,TRUE,System GMM MA,Canada,251,NA,251,NA
df of Sargan Test,Manufacturing,TRUE,System GMM MA,Canada,251,NA,251,NA
P value of Sargan test,Private,TRUE,System GMM MA,Canada,0,NA,0,NA
P value of Sargan test,Manufacturing,TRUE,System GMM MA,Canada,0,NA,0,NA
AR(1) Coefficient,Private,TRUE,System GMM,Canada,0.5111,8e-4,0.0978,2e-4
AR(1) Coefficient,Manufacturing,TRUE,System GMM,Canada,0.578,0.0041,0.1614,0.0014
Ln Pay,Private,TRUE,System GMM,Canada,0.4562,6e-4,0.8854,2e-4
Ln Pay,Manufacturing,TRUE,System GMM,Canada,0.4022,0.0033,0.8161,0.0012
Age 3-4,Private,TRUE,System GMM,Canada,-0.1828,4e-4,-0.0555,2e-4
Age 3-4,Manufacturing,TRUE,System GMM,Canada,-0.3177,0.0028,-0.1097,0.0012
Age 5-7,Private,TRUE,System GMM,Canada,-0.186,5e-4,-0.0558,2e-4
Age 5-7,Manufacturing,TRUE,System GMM,Canada,-0.3408,0.0031,-0.1201,0.0013
Age 8-12,Private,TRUE,System GMM,Canada,-0.1875,5e-4,-0.0548,2e-4
Age 8-12,Manufacturing,TRUE,System GMM,Canada,-0.3583,0.0036,-0.1298,0.0014
Age 13 or more,Private,TRUE,System GMM,Canada,-0.1943,6e-4,-0.0524,2e-4
Age 13 or more,Manufacturing,TRUE,System GMM,Canada,-0.3747,0.0041,-0.1317,0.0016
N,Private,TRUE,System GMM,Canada,13573225,NA,15708195,NA
N,Manufacturing,TRUE,System GMM,Canada,959764,NA,1015293,NA
m2,Private,TRUE,System GMM,Canada,-41.6,NA,-11.43,NA
m2,Manufacturing,TRUE,System GMM,Canada,-7.67,NA,1.39,NA
Sargan test,Private,TRUE,System GMM,Canada,18000,NA,77000,NA
Sargan test,Manufacturing,TRUE,System GMM,Canada,1700,NA,6300,NA
df of Sargan Test,Private,TRUE,System GMM,Canada,274,NA,274,NA
df of Sargan Test,Manufacturing,TRUE,System GMM,Canada,274,NA,274,NA
P value of Sargan test,Private,TRUE,System GMM,Canada,0,NA,0,NA
P value of Sargan test,Manufacturing,TRUE,System GMM,Canada,0,NA,0,NA
AR(1) Coefficient,Private,TRUE,OLS,Canada,0.397,2e-4,0.2031,1e-4
AR(1) Coefficient,Manufacturing,TRUE,OLS,Canada,0.4405,7e-4,0.2481,5e-4
Ln Pay,Private,TRUE,OLS,Canada,0.5481,2e-4,0.7847,1e-4
Ln Pay,Manufacturing,TRUE,OLS,Canada,0.5228,6e-4,0.73,5e-4
Age 3-4,Private,TRUE,OLS,Canada,-0.1223,4e-4,-0.1202,3e-4
Age 3-4,Manufacturing,TRUE,OLS,Canada,-0.234,0.0016,-0.1717,0.0014
Age 5-7,Private,TRUE,OLS,Canada,-0.1235,4e-4,-0.126,3e-4
Age 5-7,Manufacturing,TRUE,OLS,Canada,-0.2507,0.0016,-0.1891,0.0014
Age 8-12,Private,TRUE,OLS,Canada,-0.1169,4e-4,-0.1268,3e-4
Age 8-12,Manufacturing,TRUE,OLS,Canada,-0.2551,0.0016,-0.1973,0.0013
Age 13 or more,Private,TRUE,OLS,Canada,-0.1101,4e-4,-0.1246,3e-4
Age 13 or more,Manufacturing,TRUE,OLS,Canada,-0.2577,0.0017,-0.1992,0.0014
N,Private,TRUE,OLS,Canada,13573225,NA,15708195,NA
N,Manufacturing,TRUE,OLS,Canada,959764,NA,1015293,NA
R-sq,Private,TRUE,OLS,Canada,0.9444,NA,0.9696,NA
R-sq,Manufacturing,TRUE,OLS,Canada,0.9523,NA,0.9743,NA
AR(1) Coefficient,Universe,TRUE,GMM,Germany,0.6999,0.0057,0.0489,0.0051
Ln Pay,Universe,TRUE,GMM,Germany,0.2916,0.0042,0.7559,0.0035
Age 3-4,Universe,TRUE,GMM,Germany,-0.1026,0.0015,-0.007,0.0012
Age 5-7,Universe,TRUE,GMM,Germany,-0.1386,0.0017,-0.0233,0.0014
Age 8-12,Universe,TRUE,GMM,Germany,-0.1694,0.0018,-0.0473,0.0015
Age 13 or more,Universe,TRUE,GMM,Germany,-0.2183,0.0018,-0.1084,0.0015
N,Universe,TRUE,GMM,Germany,966084,NA,848871,NA
m2,Universe,TRUE,GMM,Germany,-4.13,NA,-2.51,NA
Sargan test,Universe,TRUE,GMM,Germany,2000,NA,3600,NA
df of Sargan Test,Universe,TRUE,GMM,Germany,495,NA,495,NA
P value of Sargan test,Universe,TRUE,GMM,Germany,0,NA,0,NA
AR(1) Coefficient,Universe,TRUE,System GMM MA,Germany,0.5268,0.0048,0.3701,0.006
Ln Pay,Universe,TRUE,System GMM MA,Germany,0.4202,0.0036,0.5349,0.0041
Age 3-4,Universe,TRUE,System GMM MA,Germany,-0.0831,0.0013,-0.0594,0.0015
Age 5-7,Universe,TRUE,System GMM MA,Germany,-0.1105,0.0015,-0.0922,0.0018
Age 8-12,Universe,TRUE,System GMM MA,Germany,-0.1351,0.0016,-0.1252,0.0019
Age 13 or more,Universe,TRUE,System GMM MA,Germany,-0.1802,0.0017,-0.185,0.0019
N,Universe,TRUE,System GMM MA,Germany,966084,NA,848871,NA
m2,Universe,TRUE,System GMM MA,Germany,-11.69,NA,19.03,NA
Sargan test,Universe,TRUE,System GMM MA,Germany,2500,NA,3100,NA
df of Sargan Test,Universe,TRUE,System GMM MA,Germany,494,NA,494,NA
P value of Sargan test,Universe,TRUE,System GMM MA,Germany,0,NA,0,NA
AR(1) Coefficient,Universe,TRUE,System GMM,Germany,0.614,0.0027,0.1883,0.0021
Ln Pay,Universe,TRUE,System GMM,Germany,0.3553,0.002,0.6599,0.0014
Age 3-4,Universe,TRUE,System GMM,Germany,-0.0934,0.0013,-0.0292,0.0011
Age 5-7,Universe,TRUE,System GMM,Germany,-0.1266,0.0014,-0.0512,0.0011
Age 8-12,Universe,TRUE,System GMM,Germany,-0.1545,0.0015,-0.0791,0.0011
Age 13 or more,Universe,TRUE,System GMM,Germany,-0.2012,0.0015,-0.14,0.0011
N,Universe,TRUE,System GMM,Germany,966084,NA,848871,NA
m2,Universe,TRUE,System GMM,Germany,-8.83,NA,19.49,NA
Sargan test,Universe,TRUE,System GMM,Germany,2800,NA,4500,NA
df of Sargan Test,Universe,TRUE,System GMM,Germany,526,NA,526,NA
P value of Sargan test,Universe,TRUE,System GMM,Germany,0,NA,0,NA
AR(1) Coefficient,Universe,TRUE,OLS,Germany,0.4143,8e-4,0.443,7e-4
Ln Pay,Universe,TRUE,OLS,Germany,0.5143,7e-4,0.4629,6e-4
Age 3-4,Universe,TRUE,OLS,Germany,-0.0642,0.0016,-0.0695,0.0017
Age 5-7,Universe,TRUE,OLS,Germany,-0.0891,0.0016,-0.1066,0.0017
Age 8-12,Universe,TRUE,OLS,Germany,-0.1109,0.0016,-0.1324,0.0017
Age 13 or more,Universe,TRUE,OLS,Germany,-0.16,0.0015,-0.188,0.0016
N,Universe,TRUE,OLS,Germany,966084,NA,848871,NA
R-sq,Universe,TRUE,OLS,Germany,0.8968,NA,0.9167,NA
Elasticity,Private,TRUE,GMM,Canada,0.9586255259467042,NA,0.9778140293637847,NA
Elasticity,Manufacturing,TRUE,GMM,Canada,0.940327868852459,NA,0.9673135852911133,NA
Elasticity,Private,TRUE,System GMM MA,Canada,0.9242718446601941,NA,1.0061288305190745,NA
Elasticity,Manufacturing,TRUE,System GMM MA,Canada,0.9514426460239268,NA,0.9938710126758602,NA
Elasticity,Private,TRUE,System GMM,Canada,0.9331151564737165,NA,0.9813788516958545,NA
Elasticity,Manufacturing,TRUE,System GMM,Canada,0.953080568720379,NA,0.973169568328166,NA
Elasticity,Private,TRUE,OLS,Canada,0.9089552238805971,NA,0.9846906763709374,NA
Elasticity,Manufacturing,TRUE,OLS,Canada,0.9344057193923146,NA,0.970873786407767,NA
Elasticity,Universe,TRUE,GMM,Germany,0.9716761079640119,NA,0.7947639575228682,NA
Elasticity,Universe,TRUE,System GMM MA,Germany,0.8879966187658497,NA,0.8491824099063344,NA
Elasticity,Universe,TRUE,System GMM,Germany,0.9204663212435233,NA,0.8129850930146607,NA
Elasticity,Universe,TRUE,OLS,Germany,0.8780945876728701,NA,0.8310592459605027,NA
